film_ref	sm_comm	tfidf_comm	sm_comm_size	tfidf_comm_size	type	betweenness	description
(filmRef)17261	51	16	19	752	Type 2  vocab > structure	6.415299822886403e-08	non-fiction; television entertainment Two chefs go head-to-head in the kitchen to try and satisfy Cathy MacDonald's guest in the third series. Programme 10. SHOTLIST:
(filmRef)21150	79	16	12	752	Type 2  vocab > structure	6.415299822886403e-08	non-fiction; television documentary Director, Wade Doak ; Producer, Scottish Television. A Gaelic language series about unusual aspects of the natural world. [Synopsis from BFI] Tapaidh 'nan Saoghal Fhein. Programme 7. [Subtitled] This episode focuses on the tropical fish around New Zealand's northern coastline.
(filmRef)15244	69	29	14	677	Type 2  vocab > structure	6.415299822886403e-08	non-fiction Producer, Media Nan Eilean. Gaelic speaking children describe their world. [Source - Radio Times] Programme 5 Rhoda Meek
(filmRef)19343	287	7	3	370	Type 2  vocab > structure	6.415299822886403e-08	non-fiction; television arts Music show presented by Mary Ann Kennedy, filmed during Celtic Connections 2017. Episode 6 SHOTLIST: An t-siathamh prògram à sreath air a lìbhrigeadh leis an neach-ciùil agus an craoladair, Mairi Anna NicUalraig. Chaidh Seirm a chlàradh air beulaibh luchd-èisteachd ann an Hillhead Bookclub aig àm fèis Celtic Connections anns an Fhaoilleach, 2017. Anns a' phrògram roghainneach seo tha feadhainn den luchd-ciùil as fheàrr bhon fhèis. A-nochd air Seirm, blas eadar-nàiseanta; as na Stàitean Aonaichte, Mary Chapin Carpenter; as a Chumrigh, Plu, chithear cuideachd Cathy Ann Nic a Phì agus Patsy Seddon; na peathraichean ceòlmhor, Brìghde agus Steaphanaidh Chaimbeul agus McGoldrick, McCusker, Doyle, còmhlan air leth aig a bheil freumhan ann an Èireann. The sixth episode of Seirm is presented by musician and broadcaster Mary Ann Kennedy. Filmed in the atmospheric Hillhead Bookclub before an audience at the Celtic Connections music festival in January 2017, this eclectic show features lively performances from the best of the festival alongside some unique musical collaborations. This episode has an international flavour and includes Mary Chapin Carpenter, Vishtèn, and Cathy Ann MacPhee and Patsy Seddon. [Source - BBC Alba]
(filmRef)17703	1	5	560	573	Type 2  vocab > structure	6.415299822886403e-08	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 24 A review of some stories from the series
(filmRef)15638	1	5	560	573	Type 2  vocab > structure	6.415299822886403e-08	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 13 Features about rape
(filmRef)17294	1	5	560	573	Type 2  vocab > structure	6.415299822886403e-08	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 13 A look at renewable energy in the Western Isles, and Iraqi christians in Turkey
(filmRef)14845	5	29	93	677	Type 2  vocab > structure	6.415299822886403e-08	non-fiction; television religion religion Producer, Media Nan Eilean. A Roman Catholic service from St Mary's Church in Fort William
(filmRef)21149	79	16	12	752	Type 2  vocab > structure	6.415299822886403e-08	non-fiction; television documentary Director, Anndra Penniket ; Producer, Scottish Television. A Gaelic language series about unusual aspects of the natural world. [Synopsis from BFI] Dun. Programme 6. [Subtitled] This episode focuses on the wild life in the dunes of Australia.
(filmRef)14812	1	5	560	573	Type 2  vocab > structure	6.415299822886403e-08	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Mental health
(filmRef)18239	280	16	3	752	Type 2  vocab > structure	6.415299822886403e-08	non-fiction Documentary series following three girls training as ghillies on a Highland estate. Megan, Mairi Alice and Chrissie spend a three week apprenticeship in Adrnamurchan. [Source - BBC Alba] Programme 3 Daimh gam marbhadh agus an cinn gan goil. In this programme, the girls each shoot a stag and boil the heads.
(filmRef)14677	63	29	16	677	Type 2  vocab > structure	6.415299822886401e-08	non-fiction Producer, Media Nan Eilean. Travel and lifestyle series which highlights the lifestyle of two members of the same Highland family at home and abroad. [Source - Radio Times] A compilation of episodes from Series 1 of Cairdean.
(filmRef)18807	0	4	584	883	Type 2  vocab > structure	4.8114748671648016e-08	non-fiction; television children Producer, BBC Scotland. Gaelic children's magazine, with music, live chat and a whole load of laughs. [Source - BBC Alba] Programme 6 Mòd 2015 special
(filmRef)14731	0	4	584	883	Type 2  vocab > structure	4.8114748671648016e-08	non-fiction; television children Producer, BBC Scotland. Gaelic children's magazine, with music, live chat and a whole load of laughs. [Source - BBC Alba] Programme 4 Mòd 2001 special
(filmRef)16750	2	9	295	412	Type 2  vocab > structure	4.693978533412304e-08	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Week 44
(filmRef)16682	2	9	295	412	Type 2  vocab > structure	4.693978533412304e-08	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Week 44
(filmRef)16687	2	9	295	412	Type 2  vocab > structure	4.693978533412304e-08	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Week 48
(filmRef)16684	2	9	295	412	Type 2  vocab > structure	4.693978533412304e-08	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Week 46
(filmRef)16669	2	9	295	412	Type 2  vocab > structure	4.693978533412304e-08	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Week 36
(filmRef)16734	2	9	295	412	Type 2  vocab > structure	4.693978533412304e-08	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Week 33
(filmRef)11089	20	8	46	137	Type 2  vocab > structure	4.276866548590935e-08	fiction Performance and installation. See list of works and http://www.rewind.ac.uk
(filmRef)11088	20	8	46	137	Type 2  vocab > structure	4.276866548590935e-08	fiction Performance and installation. See list of works and http://www.rewind.ac.uk
(filmRef)11087	20	8	46	137	Type 2  vocab > structure	4.276866548590935e-08	fiction Performance and installation. See list of works and http://www.rewind.ac.uk
(filmRef)16741	2	9	295	412	Type 2  vocab > structure	4.235742831777561e-08	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Week 35
(filmRef)16736	2	9	295	412	Type 2  vocab > structure	4.235742831777561e-08	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Week 50
(filmRef)16725	2	9	295	412	Type 2  vocab > structure	4.235742831777561e-08	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Week 24
(filmRef)16727	2	9	295	412	Type 2  vocab > structure	4.235742831777561e-08	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Week 26
(filmRef)16724	2	9	295	412	Type 2  vocab > structure	4.235742831777561e-08	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Week 22
(filmRef)16733	2	9	295	412	Type 2  vocab > structure	4.235742831777561e-08	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Week 32
(filmRef)16718	2	9	295	412	Type 2  vocab > structure	4.1593702148384376e-08	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Week 16
(filmRef)16783	2	9	295	412	Type 2  vocab > structure	4.1593702148384376e-08	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Week 14
(filmRef)16688	2	9	295	412	Type 2  vocab > structure	4.1593702148384376e-08	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Week 49
(filmRef)16782	2	9	295	412	Type 2  vocab > structure	4.1593702148384376e-08	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Week 13
(filmRef)16710	2	9	295	412	Type 2  vocab > structure	4.1593702148384376e-08	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Week 10
(filmRef)16779	2	9	295	412	Type 2  vocab > structure	4.1593702148384376e-08	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Week 10
(filmRef)16781	2	9	295	412	Type 2  vocab > structure	3.701134513203694e-08	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Week 12
(filmRef)16717	2	9	295	412	Type 2  vocab > structure	3.701134513203694e-08	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Week 15
(filmRef)19946	2	9	295	412	Type 2  vocab > structure	3.701134513203694e-08	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Week 36
(filmRef)16767	2	9	295	412	Type 2  vocab > structure	3.701134513203694e-08	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Week 51
(filmRef)16730	2	9	295	412	Type 2  vocab > structure	3.701134513203694e-08	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Week 29
(filmRef)16723	2	9	295	412	Type 2  vocab > structure	3.701134513203694e-08	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Week 21
(filmRef)17293	1	5	560	573	Type 2  vocab > structure	3.207649911443201e-08	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 12 A look at presidential elections in Belarus
(filmRef)14269	1	5	560	573	Type 2  vocab > structure	3.207649911443201e-08	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland. Programme 4
(filmRef)20552	1	5	560	573	Type 2  vocab > structure	3.207649911443201e-08	non-fiction; television current affairs Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] [Not Subtitled] Programme 13 A look at petrol prices, HIV and Iceland
(filmRef)14508	1	5	560	573	Type 2  vocab > structure	3.207649911443201e-08	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland. Programme 2
(filmRef)20041	64	29	16	677	Type 2  vocab > structure	3.207649911443201e-08	non-fiction; television religion Producer, Abu-Tele LTD; Tern Television. A series of religious services recorded in various locations throughout the Gàidhealtachd [Subtitled] Programme 4 This programme features anointing with Bishop Roderick at St Mary's Church in Benbecula
(filmRef)14256	1	5	560	573	Type 2  vocab > structure	3.207649911443201e-08	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland. Programme 2
(filmRef)20035	64	29	16	677	Type 2  vocab > structure	3.207649911443201e-08	non-fiction; television religion Producer, Abu-Tele LTD; Tern Television. A series of religious services recorded in various locations throughout the Gàidhealtachd [Subtitled] Programme 4 This programme features anointing with Bishop Roderick at St Mary's Church in Benbecula
(filmRef)20731	37	16	25	752	Type 2  vocab > structure	3.207649911443201e-08	non-fiction; television arts Scenic footage for a series of interviews about Gaelic music and peformances of Gaelic songs, recorded for the School of Scottish Studies. The material incoporates tests and outtakes. Barra Number 1. Footage from a camera attached to the outside of a small aeroplane as it flies over Barra.
(filmRef)14557	1	5	560	573	Type 2  vocab > structure	3.207649911443201e-08	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland. Programme 6
(filmRef)20741	37	16	25	752	Type 2  vocab > structure	3.207649911443201e-08	non-fiction; television arts Scenic footage for a series of interviews about Gaelic music and peformances of Gaelic songs, recorded for the School of Scottish Studies. The material incoporates tests and outtakes. Barra Number 1. Footage from a camera attached to the outside of a small aeroplane as it flies over Barra.
(filmRef)20037	64	29	16	677	Type 2  vocab > structure	3.207649911443201e-08	non-fiction; television religion Producer, Abu-Tele LTD; Tern Television. A series of religious services recorded in various locations throughout the Gàidhealtachd [Subtitled] Stornoway 1 This programme was broadcast from The Free Church in Stornoway
(filmRef)20038	64	29	16	677	Type 2  vocab > structure	3.207649911443201e-08	non-fiction; television religion Producer, Abu-Tele LTD; Tern Television. A series of religious services recorded in various locations throughout the Gàidhealtachd [Subtitled] Stornoway 2 This programme was broadcast from The Free Church in Stornaway
(filmRef)20553	1	5	560	573	Type 2  vocab > structure	3.207649911443201e-08	non-fiction; television current affairs Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] [Not Subtitled] Programme 13 A look at petrol prices, HIV and Iceland
(filmRef)14966	16	4	52	883	Type 2  vocab > structure	2.7494142098084582e-08	non-fiction; television children television entertainment Producer, Scottish Television, INA, France 3, Fleurus-Tardy, Club D'Investissement Media, Tele-Hachette, Societe Radio Canada, SSR, RTBF, Centre National De La Cinematographie. The Gaelic children's magazine returns for a new series, with Kathleen MacInnes. [Source - Radio Times] Programme 21
(filmRef)18004	8	7	67	370	Type 2  vocab > structure	2.1384332742954675e-08	non-fiction Music from the Celtic Connections festival.
(filmRef)18650	8	7	67	370	Type 2  vocab > structure	2.1384332742954675e-08	non-fiction Music from the Celtic Connections festival.
(filmRef)17190	8	7	67	370	Type 2  vocab > structure	2.1384332742954675e-08	non-fiction Music from the Celtic Connections festival.
(filmRef)18323	8	7	67	370	Type 2  vocab > structure	2.1384332742954675e-08	non-fiction Music from the Celtic Connections festival.
(filmRef)18268	8	7	67	370	Type 2  vocab > structure	2.1384332742954675e-08	non-fiction Music from the Celtic Connections festival.
(filmRef)18777	8	7	67	370	Type 2  vocab > structure	2.1384332742954675e-08	non-fiction Music from the Celtic Connections festival.
(filmRef)15205	0	4	584	883	Type 2  vocab > structure	1.6038249557216006e-08	non-fiction; television children Producer, BBC Scotland. Gaelic children's magazine, with music, live chat and a whole load of laughs. [Source - BBC Alba] Programme 5 Mòd 2003 special
(filmRef)15395	0	4	584	883	Type 2  vocab > structure	1.6038249557216006e-08	non-fiction; television children Producer, BBC Scotland. Gaelic children's magazine, with music, live chat and a whole load of laughs. [Source - BBC Alba] Programme 3 Mòd 2004 special
(filmRef)19085	475	11	2	256	Type 2  vocab > structure	0.0	Series following midwives and the families they look after at Raigmore Hospital, Inverness [synopsis from BBC Alba] Programme 7. CATCHUP OF ALL THREE SERIES
(filmRef)19462	206	29	4	677	Type 2  vocab > structure	0.0	non-fiction Tonight's show features multi-talented singer-songwriter Derek Ryan and his special guests, Eleanor McEvoy and Muireann Nic Amhlaoibh. Opry an Iúir brings the essence of Nashville's Grand Ole Opry to Newry.Episode 5
(filmRef)19465	288	38	3	145	Type 2  vocab > structure	0.0	non-fiction Fèis Bhealadrium - A' Cridhe Tartan. Na seallaidhean is fheàrr bhon a' phrìomh àrd-ùrlar agus an fhèis gu lèir. Live music from Beauly's boutique Tartan Heart Festival. Presented by Niall Iain MacDonald and Fiona MacKenzie [Source - BBC Alba] [Subtitled] Episode 1 Featuring Sister Sledge, First Aid Kit SHOTLIST: Fiona MacKenzie and Niall Iain MacDonald give us the full flavour of the Belladrum festival, hosting live coverage spread across three nights from Bella's Garden and Hothouse Stages. Each day, with full houses expected at the Belladrum Estate near Beauly, Fiona and Niall Iain will be offering a select capture of performances, backstage chat and social media shout outs to boot. Now in its 14th year, Belladrum Festival is renowned as a family-friendly celebration with a fun and welcoming atmosphere. Fiona and Niall Iain will bring audiences the magic of Belladrum as the most memorable moments are captured as they happen. They will deliver artist interviews, some acoustic sets and live and prerecorded material from the main stage starting on Thursday evening with Sister Sledge and Swedish band First Aid Kit
(filmRef)19801	2	9	295	412	Type 2  vocab > structure	0.0	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Programme 163. Week 28
(filmRef)19841	2	9	295	412	Type 2  vocab > structure	0.0	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Programme 195. Week 10
(filmRef)19068	0	4	584	883	Type 2  vocab > structure	0.0	non-fiction; television children Producer, BBC Scotland. Gaelic children's magazine, with music, live chat and a whole load of laughs. [Source - BBC Alba] Programme 32
(filmRef)19805	2	9	295	412	Type 2  vocab > structure	0.0	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Programme 167. Week 32
(filmRef)19786	2	9	295	412	Type 2  vocab > structure	0.0	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Programme 151. Week 16
(filmRef)19838	8	4	67	883	Type 2  vocab > structure	0.0	Òrain is ceòl bhon tasglann le seinneadairean is luchd-ciùil. Music and song from some of Gaeldom's finest performers [Source - BBC Alba]
(filmRef)19840	2	9	295	412	Type 2  vocab > structure	0.0	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Programme 194. Week 9
(filmRef)19461	206	29	4	677	Type 2  vocab > structure	0.0	non-fiction Tonight's show features multi-talented singer songwriter T.R. Dallas with his special guest, Róise Nic Corraidh. Opry an Iùir brings the essence of Nashville's Grand Ole Opry to Newry. Episode 4
(filmRef)19844	2	9	295	412	Type 2  vocab > structure	0.0	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Programme 198. Week 13
(filmRef)18023	1	5	560	573	Type 2  vocab > structure	0.0	non-fiction Producer, BBC Scotland. The programme which provides a refreshing insight into, and an opportunity to participate in, the lives, cultures and language of fellow Europeans. With particular emphasis on subjects relevant to Scotland [Source - Radio times] Programme 8 A look at Germany's unexploded bombs and road tolls in Portugal
(filmRef)19064	0	4	584	883	Type 2  vocab > structure	0.0	non-fiction; television children Producer, BBC Scotland. Gaelic children's magazine, with music, live chat and a whole load of laughs. [Source - BBC Alba] Programme 28
(filmRef)19785	2	9	295	412	Type 2  vocab > structure	0.0	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Programme 150. Week 15
(filmRef)19102	270	16	3	752	Type 2  vocab > structure	0.0	non-fiction Sealladh air na sgeulachdan a bh' anns na naidheachdan ann an 1980 cuide ri taghadh de cheòl na bliadhna. Experience some of the stories hitting the headlines in 1980 through archive footage and the year's chart hits [Source - BBC Alba] Episode 1 SHOTLIST: Sealladh air na sgeulachdan a bh' anns na naidheachdan ann an 1980 cuide ri taghadh de cheòl na bliadhna. Nam measg: tidsearan na h-Alba air stailc, am mathan Hercules air chall agus Eilean Èirisgeigh air a' mhargaid. Am measg na taghaidhean ciùil tha Pink Floyd le Another Brick in the Wall, Blondie le Atomic agus Cliff Richard le We Don't Talk Any More. Experience some of the stories hitting the headlines in 1980 through archive footage and the year's chart hits: Scottish teachers strike for more money, Hercules the Bear goes missing and the Island of Eriskay is up for sale. The year's chart hits include Pink Floyd's Another Brick in the Wall, Blondie's Atomic and Cliff Richard's We Don't Talk Any More.
(filmRef)19787	2	9	295	412	Type 2  vocab > structure	0.0	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Programme 152. Week 17
(filmRef)19788	2	9	295	412	Type 2  vocab > structure	0.0	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Programme 153. Week 18
(filmRef)18021	158	16	6	752	Type 2  vocab > structure	0.0	non-fiction Na dùbhlain agus duaisean an luib a bhith a' togail chloinne de dhiofar aoisean. A series about the challenges and rewards of bringing up children of different ages. Programme 1: Babies A' chiad bhliadhna le leanabh ùr. Here, a look at a baby's first year. [Source - BBC Online]
(filmRef)19845	2	9	295	412	Type 2  vocab > structure	0.0	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Programme 199. Week 14
(filmRef)19065	0	4	584	883	Type 2  vocab > structure	0.0	non-fiction; television children Producer, BBC Scotland. Gaelic children's magazine, with music, live chat and a whole load of laughs. [Source - BBC Alba] Programme 29
(filmRef)19066	0	4	584	883	Type 2  vocab > structure	0.0	non-fiction; television children Producer, BBC Scotland. Gaelic children's magazine, with music, live chat and a whole load of laughs. [Source - BBC Alba] Programme 30
(filmRef)19067	0	4	584	883	Type 2  vocab > structure	0.0	non-fiction; television children Producer, BBC Scotland. Gaelic children's magazine, with music, live chat and a whole load of laughs. [Source - BBC Alba] Programme 31
(filmRef)19466	288	38	3	145	Type 2  vocab > structure	0.0	non-fiction Fèis Bhealadrium - A' Cridhe Tartan. Na seallaidhean is fheàrr bhon a' phrìomh àrd-ùrlar agus an fhèis gu lèir. Live music from Beauly's boutique Tartan Heart Festival. Presented by Niall Iain MacDonald and Fiona MacKenzie [Source - BBC Alba] [Subtitled] Episode 2 Featuring Feeder, The Pretenders SHOTLIST: Fiona MacKenzie and Niall Iain MacDonald give us the full flavour of the 2017 Belladrum Festival, hosting live coverage spread across three nights from Bella's Garden and Hothouse Stages. Each day, with full houses expected at the Belladrum Estate near Beauly, Fiona and Niall Iain will be offering a select capture of performances and backstage chat and social media shout-outs to boot. Now in its 14th year, Belladrum Festival is renowned as a family friendly celebration with a fun and welcoming atmosphere. Fiona and Niall Iain will bring audiences the magic of Belladrum, with the most memorable moments captured as they happen. The acts on Friday night are Welsh band Feeder, followed by headliners The Pretenders. All of the great Pretenders songs bear the unmistakable stamp of their leader Chrissie Hynde and their set is recognised for its mixture of blistering classics and gentler moments.
(filmRef)19573	40	29	23	677	Type 2  vocab > structure	0.0	non-fiction Producer, Media Nan Eilean. A special compilation from a series of musical programmes mixing contemporary Gaelic songs and Country &amp; Western music, recorded live at the Grand Ole Opry in Glasgow. [Subtitled]
(filmRef)19467	288	38	3	145	Type 2  vocab > structure	0.0	non-fiction Fèis Bhealadrium - A' Cridhe Tartan. Na seallaidhean is fheàrr bhon a' phrìomh àrd-ùrlar agus an fhèis gu lèir. Live music from Beauly's boutique Tartan Heart Festival. Presented by Niall Iain MacDonald and Fiona MacKenzie [Source - BBC Alba] [Subtitled] Episode 2 Featuring Feeder, The Pretenders SHOTLIST: Fiona MacKenzie and Niall Iain MacDonald give us the full flavour of the 2017 Belladrum Festival, hosting live coverage spread across three nights from Bella's Garden and Hothouse Stages. Each day, with full houses expected at the Belladrum Estate near Beauly, Fiona and Niall Iain will be offering a select capture of performances and backstage chat and social media shout-outs to boot. Now in its 14th year, Belladrum Festival is renowned as a family friendly celebration with a fun and welcoming atmosphere. Fiona and Niall Iain will bring audiences the magic of Belladrum, with the most memorable moments captured as they happen. The acts on Friday night are Welsh band Feeder, followed by headliners The Pretenders. All of the great Pretenders songs bear the unmistakable stamp of their leader Chrissie Hynde and their set is recognised for its mixture of blistering classics and gentler moments.
(filmRef)19803	2	9	295	412	Type 2  vocab > structure	0.0	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Programme 165. Week 30
(filmRef)19842	2	9	295	412	Type 2  vocab > structure	0.0	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Programme 196. Week 11
(filmRef)19623	289	16	3	752	Type 2  vocab > structure	0.0	non-fiction Producer, Scottish Council on Deafness. DVD recording the memories of Deaf People at War. Part of a series 'Scottish Deaf Heritage Project Presenting the Past: My Firsts'. SHOTLIST: Air Raids Evacuation Rationing The Blackout ID and Gas Masks Other War Stories
(filmRef)19796	2	9	295	412	Type 2  vocab > structure	0.0	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Programme 161. Week 26
(filmRef)19625	289	16	3	752	Type 2  vocab > structure	0.0	non-fiction Producer, Scottish Council on Deafness. DVD recording the memories of Deaf People on the Road. Part of a series 'Scottish Deaf Heritage Project Presenting the Past: My Firsts'. SHOTLIST: First Car Driving Lessons Driving Test Insurance Breakdown Stories Gallery
(filmRef)19629	194	11	5	256	Type 2  vocab > structure	0.0	non-fiction Producer, Grampian Television. A Scottish history series which enables Gaelic speaking pupils to refine their understanding of the Scottish identity through their own language. Programme 3.
(filmRef)19795	2	9	295	412	Type 2  vocab > structure	0.0	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Programme 160. Week 25
(filmRef)19630	194	11	5	256	Type 2  vocab > structure	0.0	non-fiction A Scottish history series which enables Gaelic speaking pupils to refine their understanding of the Scottish identity through their own language. Programme 5
(filmRef)19800	69	29	14	677	Type 2  vocab > structure	0.0	non-fiction Producer, Media Nan Eilean. Gaelic speaking children describe their world. [Source - Radio Times] Catriona MacKinnon Mary Ellen Stewart David MacKay Janey MacLean
(filmRef)19631	49	16	19	752	Type 2  vocab > structure	0.0	non-fiction A TV series taking Gaelic singers back to places of special significance to them, and singing a selection of their favourite songs. [Subtitled]
(filmRef)19632	49	16	19	752	Type 2  vocab > structure	0.0	non-fiction Producer, Grampian Television. A TV series taking Gaelic singers back to places of special significance to them, and singing a selection of their favourite songs.Anna Murray.
(filmRef)19633	49	16	19	752	Type 2  vocab > structure	0.0	non-fiction Producer, Grampian Television. A TV series taking Gaelic singers back to places of special significance to them, and singing a selection of their favourite songs. Màiri Sine Campbell'
(filmRef)19794	2	9	295	412	Type 2  vocab > structure	0.0	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Programme 159. Week 24
(filmRef)19792	2	9	295	412	Type 2  vocab > structure	0.0	non-fiction Producer, Grampian Television. A weekly round up of the daily news service, concentrated mainly on Western Isles news, and Gaelic interest news stories from elsewhere [Subtitled] Programme 157. Week 22
